imdb_id,movieId,id,title
tt0114709,1,862.0,Toy Story
tt0113497,2,8844.0,Jumanji
tt0113228,3,15602.0,Grumpier Old Men
tt0114885,4,31357.0,Waiting to Exhale
tt0113041,5,11862.0,Father of the Bride Part II
tt0113277,6,949.0,Heat
tt0114319,7,11860.0,Sabrina
tt0112302,8,45325.0,Tom and Huck
tt0114576,9,9091.0,Sudden Death
tt0113189,10,710.0,GoldenEye
tt0112346,11,9087.0,The American President
tt0112896,12,12110.0,Dracula: Dead and Loving It
tt0112453,13,21032.0,Balto
tt0113987,14,10858.0,Nixon
tt0112760,15,1408.0,Cutthroat Island
tt0112641,16,524.0,Casino
tt0114388,17,4584.0,Sense and Sensibility
tt0113101,18,5.0,Four Rooms
tt0112281,19,9273.0,Ace Ventura: When Nature Calls
tt0113845,20,11517.0,Money Train
tt0113161,21,8012.0,Get Shorty
tt0112722,22,1710.0,Copycat
tt0112401,23,9691.0,Assassins
tt0114168,24,12665.0,Powder
tt0113627,25,451.0,Leaving Las Vegas
tt0114057,26,16420.0,Othello
tt0114011,27,9263.0,Now and Then
tt0114117,28,17015.0,Persuasion
tt0112682,29,902.0,The City of Lost Children
tt0115012,30,37557.0,Shanghai Triad
tt0112792,31,9909.0,Dangerous Minds
tt0114746,32,63.0,Twelve Monkeys
tt0112431,34,9598.0,Babe
tt0112637,35,47018.0,Carrington
tt0112818,36,687.0,Dead Man Walking
tt0112286,37,139405.0,Across the Sea of Time
tt0113442,38,33689.0,It Takes Two
tt0112697,39,9603.0,Clueless
tt0112749,40,34615.0,"Cry, the Beloved Country"
tt0114279,41,31174.0,Richard III
tt0112819,42,11443.0,Dead Presidents
tt0114272,43,35196.0,Restoration
tt0113855,44,9312.0,Mortal Kombat
tt0114681,45,577.0,To Die For
tt0113347,46,11861.0,How To Make An American Quilt
tt0114369,47,807.0,Se7en
tt0114148,48,10530.0,Pocahontas
tt0114916,49,8391.0,When Night Is Falling
tt0114814,50,629.0,The Usual Suspects
tt0113819,52,11448.0,Mighty Aphrodite
tt0110299,53,49133.0,Lamerica
tt0112499,54,26441.0,The Big Green
tt0113158,55,97406.0,Georgia
tt0113321,57,9089.0,Home for the Holidays
tt0110877,58,11010.0,The Postman
tt0112714,59,99040.0,The Confessional
tt0113419,60,11359.0,The Indian in the Cupboard
tt0116260,61,17182.0,Eye for an Eye
tt0113862,62,2054.0,Mr. Holland's Opus
tt0116126,63,10607.0,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
tt0118002,64,19760.0,Two If by Sea
tt0115683,65,9536.0,Bio-Dome
tt0116839,66,11525.0,Lawnmower Man 2: Beyond Cyberspace
tt0113149,68,4482.0,French Twist
tt0113118,69,10634.0,Friday
tt0116367,70,755.0,From Dusk Till Dawn
tt0113010,71,11859.0,Fair Game
tt0113537,72,28387.0,Kicking and Screaming
tt0113828,73,48750.0,Les Miserables
tt0115644,74,20927.0,Bed of Roses
tt0114367,76,9102.0,Screamers
tt0113973,77,124626.0,Nico Icon
tt0112744,78,27526.0,The Crossing Guard
tt0116731,79,9623.0,The Juror
tt0112445,80,46785.0,The White Balloon
tt0114660,81,400.0,Things to Do in Denver When You're Dead
tt0112379,82,880.0,Antonia's Line
