,title,imdb_id,year,vote_count,vote_average,popularity,genres,score
0,Toy Story,tt0114709,1995,5415.0,7.7,21.946943,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",7.548028140895159
1,Jumanji,tt0113497,1995,2413.0,6.9,17.015539,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",6.707076935457269
5,Heat,tt0113277,1995,1886.0,7.7,17.924927,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",7.3159603387398215
9,GoldenEye,tt0113189,1995,1194.0,6.6,14.686035999999998,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",6.340570934421079
15,Casino,tt0112641,1995,1343.0,7.8,10.137389,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",7.273973044585819
17,Four Rooms,tt0113101,1995,539.0,6.5,9.026586,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]",6.108386247746605
18,Ace Ventura: When Nature Calls,tt0112281,1995,1128.0,6.1,8.205447999999999,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",5.966377554943804
31,Twelve Monkeys,tt0114746,1995,2470.0,7.4,12.297305,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",7.137473002703879
33,Babe,tt0112431,1995,756.0,6.0,14.404764000000002,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",5.860274634062428
38,Clueless,tt0112697,1995,828.0,6.9,9.882383,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.463036187412392
43,Mortal Kombat,tt0113855,1995,452.0,5.4,10.870138,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]",5.502604723862859
46,Se7en,tt0114369,1995,5915.0,8.1,18.45743,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",7.933199423158947
47,Pocahontas,tt0114148,1995,1509.0,6.7,13.280069000000001,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",6.4608502289698695
49,The Usual Suspects,tt0114814,1995,3334.0,8.1,16.302466,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",7.818671014319693
68,Friday,tt0113118,1995,513.0,7.0,14.56965,"[{'id': 35, 'name': 'Comedy'}]",6.370985440114848
